,Sample Number,Area Proportion of Inclusions Occurring in Discontinuous Array,Quenching Media Temperature (for Carburization),Diffusion time,Fatigue Strength,Through Hardening Time,Cooling Rate for Tempering,Reduction Ratio (Ingot to Bar),Normalizing Temperature,Diffusion Temperature,Carburization Time,Cooling Rate for Through Hardening,Area Proportion of Inclusions Deformed by Plastic Work,Tempering Temperature,Area Proportion of Isolated Inclusions,Tempering Time,Carburization Temperature,Through Hardening Temperature,chemical_formula
0,228.0,0.0,30.0,0.0,451.0,30.0,24.0,530.0,870.0,30.0,0.0,8.0,0.02,550.0,0.01,60.0,30.0,845.0,Fe0.9759C0.004Mn0.0156Cu0.0005Si0.0022P0.00011S0.00019Ni0.0006Cr0.0009
1,193.0,0.0,30.0,0.0,631.0,30.0,24.0,510.0,870.0,30.0,0.0,8.0,0.04,550.0,0.03,60.0,30.0,855.0,Fe0.97088C0.004Mn0.0074Cu0.001Si0.0025P0.00014S0.00028Mo0.0018Ni0.0024Cr0.0096
2,233.0,0.0,30.0,0.0,406.0,30.0,24.0,610.0,870.0,30.0,0.0,8.0,0.03,600.0,0.01,60.0,30.0,845.0,Fe0.97588C0.0038Mn0.0152Cu0.0007Si0.0027P0.00012Ni0.0003Cr0.0013
3,22.0,0.0,30.0,0.0,433.0,30.0,24.0,1740.0,865.0,30.0,0.0,24.0,0.1,550.0,0.0,60.0,30.0,865.0,Fe0.98575C0.0037Mn0.0072Cu0.0002Si0.0024P0.00015S0.0002Ni0.0002Cr0.0002
4,240.0,0.0,30.0,0.0,385.0,30.0,24.0,610.0,870.0,30.0,0.0,8.0,0.03,650.0,0.01,60.0,30.0,845.0,Fe0.97588C0.0038Mn0.0152Cu0.0007Si0.0027P0.00012Ni0.0003Cr0.0013
5,29.0,0.01,30.0,0.0,394.0,30.0,24.0,610.0,865.0,30.0,0.0,24.0,0.06,600.0,0.01,60.0,30.0,865.0,Fe0.9834C0.0038Mn0.007Cu0.0011Si0.0029S0.0003Ni0.0006Cr0.0009
6,54.0,0.0,30.0,0.0,465.0,30.0,24.0,610.0,845.0,30.0,0.0,24.0,0.04,550.0,0.03,60.0,30.0,845.0,Fe0.98335C0.0047Mn0.0072Cu0.0004Si0.0025P0.00015Ni0.0013Cr0.0004
7,157.0,0.0,30.0,0.0,550.0,30.0,24.0,740.0,870.0,30.0,0.0,8.0,0.02,600.0,0.01,60.0,30.0,855.0,Fe0.97224C0.0036Mn0.0074Cu0.0012Si0.0035P0.00016S0.0002Mo0.0015Ni0.0005Cr0.0097
8,377.0,0.0,30.0,0.0,770.0,30.0,24.0,1455.0,845.0,30.0,0.0,8.0,0.07,500.0,0.01,60.0,30.0,845.0,Fe0.96007C0.0061Mn0.0086Cu0.0012Si0.0205P0.00019S0.00014Ni0.0016Cr0.0016
9,69.0,0.01,30.0,0.0,422.0,30.0,24.0,1270.0,845.0,30.0,0.0,24.0,0.04,600.0,0.0,60.0,30.0,845.0,Fe0.98496C0.0042Mn0.007Si0.0026P0.00024Cr0.001
10,116.0,0.0,30.0,0.0,583.0,30.0,24.0,1120.0,870.0,30.0,0.0,8.0,0.02,550.0,0.03,60.0,30.0,855.0,Fe0.97198C0.004Mn0.0078Cu0.0013Si0.0031P0.00012Ni0.0007Cr0.011
11,218.0,0.01,30.0,0.0,505.0,30.0,24.0,500.0,870.0,30.0,0.0,8.0,0.09,650.0,0.01,60.0,30.0,855.0,Fe0.97028C0.0042Mn0.0077Cu0.0009Si0.0029P0.00015S0.00017Mo0.0015Ni0.0012Cr0.011
12,214.0,0.0,30.0,0.0,517.0,30.0,24.0,510.0,870.0,30.0,0.0,8.0,0.04,650.0,0.01,60.0,30.0,855.0,Fe0.97181C0.0041Mn0.008Cu0.001Si0.0024P0.00015S0.00024Mo0.0018Ni0.0003Cr0.0102
13,11.0,0.0,30.0,0.0,255.0,0.0,0.0,1740.0,885.0,30.0,0.0,0.0,0.11,30.0,0.0,0.0,30.0,30.0,Fe0.98887C0.0023Mn0.0051Cu0.0003Si0.0026P0.00029S0.00024Cr0.0003
14,121.0,0.0,30.0,0.0,562.0,30.0,24.0,1120.0,870.0,30.0,0.0,8.0,0.02,550.0,0.01,60.0,30.0,855.0,Fe0.97286C0.004Mn0.0079Cu0.0004Si0.0032P0.00013S0.00011Ni0.0005Cr0.0109
15,286.0,0.0,30.0,0.0,537.0,30.0,24.0,700.0,900.0,30.0,0.0,8.0,0.01,550.0,0.01,60.0,30.0,845.0,Fe0.95438C0.0031Mn0.0056Cu0.001Si0.0022P0.00016S0.00016Ni0.0263Cr0.0071
