Table 4. Tensile Tests on Specimens made of Stearic Acid and Plaster-of-Paris. ,,,,,
(Extracted from Weibull 1939),,,,,
No.,Area mm^2,sigma_d kg/mm^2,No.,Area mm^2,sigma_d kg/mm^2
1,21.50,0.61,14,23.10,0.58
2,22.31,0.60,15,21.91,0.62
3,23.00,0.50,16,23.23,0.50
4,14.18,0.63,17,25.80,0.50
5,22.03,0.48,18,20.68,0.52
6,22.79,0.60,19,15.90,0.59
7,28.88,0.56,20,16.47,0.50
8,17.79,0.59,21,18.75,0.54
9,23.60,0.60,22,17.91,0.55
10,23.60,0.52,23,25.55,0.50
11,28.51,0.57,24,22.03,0.48
12,25.93,0.55,25,20.96,0.47
13,22.97,0.59,,,
