alloy,al_percent,Ag,B,Be,Bi,Ca,Cd,Ce,Cr,Cu,Fe,Ge,Li,Mg,Mn,Na,Ni,O,Pb,Sc,Si,Ti,V,Y,Zn,Zr
1100,99,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1230,90.85,0,0,0,0,0,0.25,0,0,5.8,0.3,0,1.4,0.05,0.8,0,0,0,0,0,0.3,0.15,0,0,0.1,0
1420,92.9,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0.1
1421,92.9,0,0,0,0,0,0,0,0,0,0,0,2,5,0.2,0,0,0,0,0.2,0,0,0,0,0,0.1
1424,91.4885,0,0,0.2,0,0,0,0,0,0,0.1,0,1.8,5.2,0.25,0.0015,0,0,0,0.08,0.08,0,0,0,0.7,0.1
1430,90.907,0,0,0.1,0,0,0,0.4,0,1.8,0.15,0,1.9,3,0.5,0.003,0,0,0,0.1,0.1,0.1,0,0.1,0.7,0.14
1440,93.547,0,0,0.2,0,0,0,0,0.05,1.9,0.15,0,2.6,1.1,0.05,0.003,0,0,0,0,0.1,0.1,0,0,0,0.2
1441,94.26,0,0,0.2,0,0,0,0,0,1.8,0.12,0,2.1,1.1,0.01,0,0.1,0,0,0,0.08,0.07,0,0,0,0.16
1441K,94.7,0,0,0.01,0,0,0,0,0,1.5,0.12,0,2.1,1.1,0.01,0,0.15,0,0,0,0.08,0.07,0,0,0,0.16
1445,94.6775,0.15,0,0.01,0,0.04,0,0,0,1.5,0.12,0,1.9,1.1,0.01,0.0015,0.15,0,0,0.001,0.08,0.1,0,0,0,0.16
1450,93.298,0,0,0.1,0,0,0,0.05,0.05,3.3,0.15,0,2.3,0.1,0.1,0.002,0,0,0,0,0.1,0.06,0,0,0.25,0.14
1460,93.6777,0,3e-4,0,0,0,0,0,0,3.3,0.15,0,2.4,0.05,0,0.002,0,0,0,0.14,0.1,0.05,0,0,0,0.13
2004,93.6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
2011,93.7,0,0,0,0.4,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0
2014,93.5,0,0,0,0,0,0,0,0,4.4,0,0,0,0.5,0.8,0,0,0,0,0,0.8,0,0,0,0,0
2017,94.2,0,0,0,0,0,0,0,0,4,0,0,0,0.6,0.7,0,0,0,0,0,0.5,0,0,0,0,0
2020,93.4,0,0,0,0,0,0.25,0,0,4.5,0,0,1.3,0,0.55,0,0,0,0,0,0,0,0,0,0,0
2024,93.5,0,0,0,0,0,0,0,0,4.4,0,0,0,1.5,0.6,0,0,0,0,0,0,0,0,0,0,0
2029,94.6,0.4,0,0,0,0,0,0,0,3.6,0,0,0,1,0.3,0,0,0,0,0,0,0,0,0,0,0.1
2036,96.7,0,0,0,0,0,0,0,0,2.6,0,0,0,0.45,0.25,0,0,0,0,0,0,0,0,0,0,0
